TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L953,0,A,9.53,I,,,,,,,,,,,
L100,0,A,10.08,I,,,,,,,,,,,
L105,0,A,10.58,I,,,,,,,,,,,
L110,0,A,11.08,I,,,,,,,,,,,
L113,0,E,11.33,I,2.1,59.09,06/11/2020,1,2100.0,0.407,0.8859,0.1016,-0.0067,-0.0032,0.8997
L115,0,A,11.58,I,3.41,-4.48,13/11/2020,2,136400.0,,,,,,
L120,0,A,12.08,I,2.9,-0.68,12/11/2020,1,3770.0,0.282,0.9912,0.0172,-0.0016,-0.0006,0.1164
L123,0,E,12.33,I,2.71,4.23,13/11/2020,3,8100.0,0.321,0.9759,0.0367,-0.0026,-0.001,0.2735
L125,0,A,12.58,I,2.15,-9.28,12/11/2020,5,21900.0,0.36,0.9125,0.0921,-0.006,-0.0028,0.7612
L130,0,A,13.08,I,2.0,19.76,13/11/2020,6,2028.0,,,,,,
L135,0,A,13.58,I,1.69,31.01,13/11/2020,45,445969.0,0.363,0.8352,0.1411,-0.0092,-0.0054,1.2014
L140,0,A,14.08,I,1.3,44.44,13/11/2020,41,46382.0,0.34,0.7641,0.1865,-0.0106,-0.0082,1.4945
L143,0,E,14.33,I,1.07,40.79,13/11/2020,43,317786.0,0.345,0.6909,0.2117,-0.012,-0.0112,1.6999
L145,0,A,14.58,I,0.92,43.75,13/11/2020,154,358890.0,0.33,0.6496,0.232,-0.0121,-0.0132,1.7937
L150,1,A,15.08,A,0.67,59.52,13/11/2020,212,394843.0,0.331,0.5364,0.2474,-0.0129,-0.0193,1.9282
L155,1,A,15.58,O,0.42,50.0,13/11/2020,86,38238.0,0.319,0.4026,0.2502,-0.012,-0.0286,1.8746
L160,1,A,16.08,O,0.28,55.56,13/11/2020,165,56100.0,0.327,0.2952,0.2176,-0.0109,-0.0389,1.6719
L163,0,E,16.33,O,0.22,46.67,13/11/2020,41,25810.0,0.322,0.2486,0.2027,-0.0098,-0.0445,1.5376
L170,1,A,16.58,O,0.18,50.0,13/11/2020,35,22478.0,0.333,0.2079,0.1776,-0.0091,-0.0506,1.3876
L168,0,E,16.83,O,0.14,55.56,13/11/2020,30,4080.0,0.332,0.1708,0.1578,-0.008,-0.0571,1.2302
L17,0,A,17.08,O,0.12,50.0,13/11/2020,22,13036.0,0.346,0.1461,0.1369,-0.0075,-0.0625,1.1091
L175,0,A,17.58,O,0.06,20.0,13/11/2020,20,3471.0,0.335,0.0844,0.0956,-0.0049,-0.0817,0.748
L180,0,A,18.08,O,0.05,25.0,13/11/2020,11,1059.0,0.367,0.0672,0.0735,-0.0045,-0.09,0.6276
L190,0,A,18.58,O,0.04,33.33,13/11/2020,4,370.0,0.382,0.0534,0.0587,-0.0039,-0.0975,0.5272
L188,0,E,18.83,O,0.03,0.0,13/11/2020,9,1655.0,0.385,0.0415,0.0477,-0.0032,-0.1067,0.4293
L210,0,A,21.08,O,0.02,100.0,13/11/2020,4,78.0,0.498,0.0232,0.0228,-0.0026,-0.13,0.2669
L217,0,E,21.33,O,0.01,0.0,13/11/2020,2,20.0,0.474,0.0132,0.0149,-0.0015,-0.15,0.1638
L220,0,A,21.58,O,0.01,,30/10/2020,2,593.0,0.6,0.011,0.0103,-0.0012,-0.12,0.1361
L218,0,E,21.83,O,0.01,0.0,03/11/2020,1,10.0,0.623,0.0109,0.01,-0.0012,-0.12,0.1321
L228,0,A,22.08,O,0.01,0.0,13/11/2020,1,5.0,0.51,0.0124,0.013,-0.0015,-0.15,0.1551
L223,0,E,22.33,O,0.37,-47.14,23/04/2020,4,114370.0,0.608,0.1522,0.0411,-0.0043,-0.0116,2.2194
L305,0,A,30.58,O,0.26,136.36,17/09/2020,1,78.0,1.078,0.0966,0.0243,-0.0095,-0.0365,1.1166
