TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X953,0,E,9.53,O,,,,,,,,,,,
X100,0,E,10.08,O,,,,,,,,,,,
X105,0,E,10.58,O,0.03,50.0,13/11/2020,14,716.0,0.596,-0.0257,0.0208,-0.0033,-0.11,0.289
X110,0,E,11.08,O,0.03,0.0,13/11/2020,6,184.0,0.522,-0.0292,0.0264,-0.0032,-0.1067,0.3199
X113,0,E,11.33,O,0.03,0.0,13/11/2020,1,3.0,0.462,-0.0332,0.0339,-0.0031,-0.1033,0.3487
X115,0,E,11.58,O,0.03,-40.0,13/11/2020,1,300.0,0.463,-0.0325,0.0325,-0.0031,-0.1033,0.3509
X120,0,E,12.08,O,0.05,-28.57,13/11/2020,20,3766.0,0.445,-0.0522,0.0496,-0.0043,-0.086,0.516
X123,0,E,12.33,O,0.08,-20.0,13/11/2020,2,16.0,0.409,-0.0859,0.0817,-0.0057,-0.0712,0.7354
X125,0,E,12.58,O,0.12,0.0,13/11/2020,53,168386.0,0.482,-0.1012,0.0757,-0.0078,-0.065,0.8593
X130,0,E,13.08,O,0.13,-23.53,13/11/2020,65,44298.0,0.415,-0.1231,0.1012,-0.0077,-0.0592,0.988
X135,0,E,13.58,O,0.18,-35.71,13/11/2020,70,46104.0,0.379,-0.1726,0.1391,-0.0088,-0.0489,1.2383
X140,1,E,14.08,O,0.29,-38.3,13/11/2020,78,55188.0,0.367,-0.2553,0.1806,-0.0107,-0.0369,1.5563
X143,1,E,14.33,O,0.37,-31.48,13/11/2020,35,108153.0,0.362,-0.3094,0.2015,-0.0115,-0.0311,1.704
X145,0,E,14.58,O,0.46,-31.34,13/11/2020,55,92753.0,0.355,-0.3664,0.2194,-0.0119,-0.0259,1.8169
X150,1,E,15.08,A,0.66,-29.79,13/11/2020,104,444892.0,0.35,-0.4703,0.2346,-0.0124,-0.0188,1.927
X155,1,E,15.58,I,0.96,-26.72,13/11/2020,24,272246.0,0.351,-0.5894,0.2288,-0.0119,-0.0124,1.8812
X160,0,E,16.08,I,1.29,-25.0,13/11/2020,30,78236.0,0.353,-0.6884,0.2068,-0.0107,-0.0083,1.7126
X163,0,E,16.33,I,1.34,,10/11/2020,2,2680.0,0.311,-0.7252,0.2077,-0.0083,-0.0062,1.7211
X170,0,E,16.58,I,2.0,-6.54,13/11/2020,3,2640.0,0.347,-0.8469,0.1445,-0.0063,-0.0032,1.1137
X168,0,E,16.83,I,5.8,9.43,23/04/2020,3,5070000.0,0.624,-0.6666,0.0619,-0.0045,-0.0008,3.4221
X17,0,E,17.08,I,2.54,-19.37,13/11/2020,12,3814.0,0.454,-0.828,0.119,-0.0093,-0.0037,1.2032
X173,0,E,17.33,I,1.7,183.33,06/02/2020,1,374000.0,0.286,-0.4349,0.0881,-0.0025,-0.0015,6.1404
X175,0,E,17.58,I,4.82,,03/11/2020,1,3856.0,0.457,-0.9655,0.0357,-0.001,-0.0002,0.3571
X180,0,E,18.08,I,,,,,,,,,,,
X190,0,E,18.58,I,7.8,550.0,23/04/2020,3,8700000.0,0.79,-0.6461,0.05,-0.0061,-0.0008,3.4995
X188,0,E,18.83,I,7.8,403.23,23/04/2020,2,3590000.0,0.731,-0.6827,0.0517,-0.0051,-0.0007,3.3562
X19,0,E,19.08,I,2.55,64.52,06/02/2020,1,561000.0,0.258,-0.596,0.096,-0.0015,-0.0006,6.0496
X210,0,E,21.08,I,6.3,-5.97,12/11/2020,1,128520.0,0.499,-0.9818,0.0186,-0.0003,-0.0,0.2157
X217,0,E,21.33,I,,,,,,,,,,,
X220,0,E,21.58,I,2.55,-19.3,10/12/2019,1,255.0,,,,,,
X218,0,E,21.83,I,,,,,,,,,,,
X228,0,E,22.08,I,,,,,,,,,,,
X223,0,E,22.33,I,,,,,,,,,,,
X305,0,E,30.58,I,,,,,,,,,,,
